ID,cpf
772,81246260442
1594,42628814248
234,68662124481
2953,46214201224
2942,02048462662
4754,02146688240
2148,11664260860
830,28248611886
973,00041426120
1371,66821140462
4416,44840842600
432,22246816828
941,08868220628
1057,88422248220
2149,44668006400
1483,22001404864
2914,04862260162
4892,40024428286
702,10601826412
481,44642666814
2751,01688601228
2819,08886600626
4474,06242426246
2449,66828004648
1998,42842612868
4463,08684884822
4148,11168484622
2635,06028288684
2522,12826862626
474,01428282184
2874,02016422210
3469,12808280608
4679,28608012842
1964,08820244860
3698,04266228840
2656,06608002108
1940,60484616104
504,80446620668
1869,28861142882
3143,04866448802
2672,44060820882
1763,14464118641
4644,11428442842
393,06481660244
4344,44008642888
629,16221466624
1016,42482044861
2885,28642004248
4110,14481006620
3162,10414612426
4611,08116888264
3921,12186208661
